6 492 33 0.0217974742909 ('BrowserFocusTest.BackgroundBrowserDontStealFocus', 'ExtensionCrashRecoveryTest.TwoExtensionsShutdownWhileCrashed')
1 1 4 0.499843920708 ('PopupBlockerBrowserTest.ModalPopUnder', 'SitePerProcessInteractiveBrowserTest.DocumentHasFocus')
3 31 719 -0.0119270065159 ('ExtensionCrashRecoveryTest.CrashAndUninstall', 'WidgetTestInteractive.RestoreAfterMinimize')
14 129 141 0.0779388876649 ('WebViewInteractiveTests/WebViewInteractiveTest.TextSelection/0', 'WebViewInteractiveTests/WebViewInteractiveTest.TextSelection/1')
1 334 32 -0.0123088313094 ('PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification', 'WebViewInteractiveTests/WebViewFocusInteractiveTest.FocusAndVisibility/1')
4 40 792 -0.0159912044112 ('BrowserFocusTest.FocusOnNavigate', 'TabDragging/DetachToBrowserTabDragControllerTest.DragToSeparateWindow/0')
1 3 4 0.28816431308 ('SitePerProcessTextInputManagerTest.ImeCommitTextForAllFrames', 'SitePerProcessTextInputManagerTest.TrackTextSelectionForAllFrames')
1 97 4 0.0471673407562 ('ExtensionCrashRecoveryTest.ReloadIndependentlyChangeTabs', 'PlatformNotificationServiceBrowserTest.DisplayPersistentNotificationWithReplyButton')
1 54 36 0.0136359249508 ('ExtensionCrashRecoveryTest.ReloadIndependentlyNavigatePage', 'ExtensionCrashRecoveryTest.TwoExtensionsOneByOne')
1 45 42 0.014085730635 ('ExtensionCrashRecoveryTest.ReloadIndependently', 'ExtensionCrashRecoveryTest.TwoExtensionsReloadIndependently')
2 87 11 0.0588167281686 ('AppListTest.PressAppListButtonToShowAndDismiss', 'WebUiScreenLockerTest.TestFullscreenExit')
1 6 6 0.165625216969 ('AppWindowInteractiveTest.ESCDoesNotLeaveFullscreenOldPermission', 'ExtensionPointerLockTest.ExtensionPointerLockAccessFail')
1 53 8 0.0445639397806 ('MenuControllerMnemonicTestTitleMatch.TitleMatch', 'SitePerProcessInteractiveBrowserTest.SequentialFocusNavigation')
1 94 3 0.0566296412195 ('BridgedNativeWidgetUITest.FullscreenEnterAndExit', 'PlatformNotificationServiceBrowserTest.DataUrlAsNotificationImage')
1 94 4 0.0480289192659 ('BridgedNativeWidgetUITest.FullscreenEnterAndExit', 'PlatformNotificationServiceBrowserTest.DisplayPersistentNotificationWithReplyButton')
1 4 49 0.0688967243852 ('ParamaterizedFullscreenControllerInteractiveTestInstance/ParamaterizedFullscreenControllerInteractiveTest.MouseLockSilentAfterTargetUnlock/1', 'WebViewInteractiveTests/WebViewFocusInteractiveTest.Focus_FocusTracksEmbedder/1')
1 3 39 0.0905962640956 ('BrowserFocusTest.ClickingMovesFocus', 'MenuControllerMnemonicTestMnemonicMatch.MnemonicMatch')
3 492 40 -0.00826566210785 ('BrowserFocusTest.BackgroundBrowserDontStealFocus', 'BrowserFocusTest.FocusOnNavigate')
1 1 1 1.0 ('OmniboxViewTest.BasicTextOperations', 'OmniboxViewTest.FocusSearchLongUrl')
3 87 52 0.0310596109996 ('AppListTest.PressAppListButtonToShowAndDismiss', 'ExtensionCrashRecoveryTest.TwoExtensionsCrashBothAtOnce')
1 39 334 -0.0155935813785 ('FindInPageTest.ButtonsDoNotAlterFocus', 'PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification')
1 6 3 0.23503970434 ('AppWindowInteractiveTest.ESCDoesNotLeaveFullscreenOldPermission', 'PlatformNotificationServiceBrowserTest.DataUrlAsNotificationImage')
13 36 49 0.303469891472 ('TestAsNormalAndGuestUser/SpokenFeedbackTest.ChromeVoxShiftSearch/0', 'TestAsNormalAndGuestUser/SpokenFeedbackTest.ChromeVoxShiftSearch/1')
2 97 36 0.0218545086052 ('ExtensionCrashRecoveryTest.ReloadIndependentlyChangeTabs', 'ExtensionCrashRecoveryTest.TwoExtensionsOneByOne')
8 87 68 0.0894518058001 ('AppListTest.PressAppListButtonToShowAndDismiss', 'MenuModelAdapterTest.RebuildMenu')
1 24 719 -0.0214318058764 ('ExtensionCrashRecoveryTest.ShutdownWhileCrashed', 'WidgetTestInteractive.RestoreAfterMinimize')
4 792 21 0.00459201531708 ('TabDragging/DetachToBrowserTabDragControllerTest.DragToSeparateWindow/0', 'WebViewInteractiveTests/WebViewInteractiveTest.KeyboardFocusWindowCycle/0')
1 53 719 -0.0386951755476 ('MenuControllerMnemonicTestTitleMatch.TitleMatch', 'WidgetTestInteractive.RestoreAfterMinimize')
1 37 596 -0.0259111922476 ('ExtensionCrashRecoveryTest.Basic', 'PasswordGenerationInteractiveTest.AutoSavingGeneratedPassword')
1 16 28 0.0430394052528 ('X11TopmostWindowFinderTest.Menu', 'X11TopmostWindowFinderTest.NonRectangularNullShape')
2 194 163 -0.0267391795435 ('MouseLeaveTest.ModalDialog', 'SitePerProcessInteractiveBrowserTest.TabAndMouseFocusNavigation')
18 194 719 -0.0326539328561 ('MouseLeaveTest.ModalDialog', 'WidgetTestInteractive.RestoreAfterMinimize')
3 94 141 0.00216160474897 ('BridgedNativeWidgetUITest.FullscreenEnterAndExit', 'WebViewInteractiveTests/WebViewInteractiveTest.TextSelection/1')
3 492 33 -0.00313837980628 ('BrowserFocusTest.BackgroundBrowserDontStealFocus', 'ExtensionCrashRecoveryTest.TwoExtensionsCrashSecond')
1 54 163 -0.00906350312564 ('ExtensionCrashRecoveryTest.ReloadIndependentlyNavigatePage', 'SitePerProcessInteractiveBrowserTest.TabAndMouseFocusNavigation')
5 492 36 0.0104711473672 ('BrowserFocusTest.BackgroundBrowserDontStealFocus', 'ExtensionCrashRecoveryTest.TwoExtensionsOneByOne')
1 1 3 0.577230125547 ('NotificationsTest.TestCancelNotification', 'SitePerProcessTextInputManagerTest.TrackSelectionBoundsForAllFrames')
1 94 6 0.0375594225708 ('BridgedNativeWidgetUITest.FullscreenEnterAndExit', 'PlatformNotificationServiceBrowserTest.DisplayPersistentNotificationWithActionButtons')
4 9 14 0.354862192802 ('UserDataDowngradeBrowserCopyAndCleanTest.Test', 'UserDataDowngradeBrowserNoMSITest.Test')
