1 4 7 0.188772075139 ('ManagePasswordsBubbleViewTest.AutoSigninNoFocus', 'NotificationsTest.TestPermissionRequestUIAppears')
1 4 7 0.188772075139 ('FindInPageInteractiveTest.FindInPageEndState', 'NotificationsTest.TestAllowOnPermissionRequestUI')
1 4 7 0.188772075139 ('AutofillInteractiveTest.AutofillEvents', 'NotificationsTest.TestPermissionAPI')
2 9 13 0.184465856931 ('NotificationsTest.TestDenyNotificationsFromAllSites', 'WebViewInteractiveTests/WebViewInteractiveTest.KeyboardFocusSimple/0')
2 9 13 0.184465856931 ('CommandsApiTest.OverwriteBookmarkShortcutDoesNotOverrideWebKeybinding', 'NotificationsTest.TestClosePermissionRequestUI')
1 2 15 0.182380154616 ('BrowserActionButtonUiTest.OpenMenuOnDisabledActionWithMouseOrKeyboard', 'BrowserCommandControllerInteractiveTest.KeyEventsShouldBeConsumedByWebPageInJsFullscreenExceptForEsc')
1 3 10 0.182362118605 ('OmniboxViewTest.CtrlKeyPressedWithInlineAutocompleteTest', 'WebViewInteractiveTests/WebViewNewWindowInteractiveTest.NewWindow_NoName/0')
1 3 10 0.182362118605 ('AutofillInteractiveTest.DistinguishMiddleInitialWithinName', 'PermissionBubbleInteractiveUITest.CmdWClosesWindow/Views')
1 10 3 0.182362118605 ('CrElementsProfileAvatarSelectorFocusTest.All', 'PermissionBubbleInteractiveUITest.CmdWClosesWindow/Cocoa')
1 6 5 0.182353102606 ('FullscreenControllerInteractiveTest.TestTabDoesntExitMouseLockOnSubFrameNavigation', 'NotificationsApiTest.TestShouldDisplayNormal')
1 6 5 0.182353102606 ('BrowserViewTest.FullscreenClearsFocus', 'OmniboxViewViewsTest.FocusedTextInputClient')
1 6 5 0.182353102606 ('AutofillInteractiveTest.OnDeleteValueAfterAutofill', 'WebViewInteractiveTests/WebViewInteractiveTest.EditCommands/1')
2 6 20 0.182149920516 ('OmniboxViewTest.PersistKeywordModeOnTabSwitch', 'PopupBlockerBrowserTest.UnblockedPopupShowsInHistoryAndOmnibox')
2 8 15 0.182136404071 ('DevToolsManagerDelegateTest.NormalWindowChangeBounds', 'OmniboxViewTest.AcceptKeywordByTypingQuestionMark')
2 8 15 0.182136404071 ('AutofillPopupControllerBrowserTest.HidePopupOnWindowMove', 'OmniboxViewTest.AcceptKeywordByTypingQuestionMark')
2 10 12 0.182131899258 ('NotificationsTest.TestCloseTabWithPermissionRequestUI', 'PopupBlockerBrowserTest.Opener')
3 21 13 0.180903803065 ('ManagePasswordsBubbleViewTest.CloseOnKey', 'PopupBlockerBrowserTest.AllowPopupThroughContentSettingIFrame')
3 40 7 0.178664992553 ('BrowserActionInteractiveTest.DeleteBrowserActionWithPopupOpen', 'PopupBlockerBrowserTest.BlockWebContentsCreationIncognito')
3 13 22 0.17671089414 ('PopupBlockerBrowserTest.AllowPopupThroughContentSettingIFrame', 'PopupBlockerBrowserTest.ClosableAfterNavigation')
